Bat freq,Species,Datalogger,Download date,Recording date,Time,Channel,BPM,Antenna,Power,Day,Date_Time,Temp
150.189,MYSE,8322,7/15/2014,7/11/2014,18:42:12,4,18.6,AH0,78,Day,7/11/2014 18:42,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:42:29,4,18.6,AH0,79,Day,7/11/2014 18:42,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:42:32,4,18.6,AH0,77,Day,7/11/2014 18:42,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:42:48,4,18.6,AH0,76,Day,7/11/2014 18:42,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:42:51,4,18.6,AH0,76,Day,7/11/2014 18:42,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:43:07,4,18.6,AH0,75,Day,7/11/2014 18:43,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:43:11,4,18.6,AH0,77,Day,7/11/2014 18:43,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:43:27,4,18.6,AH0,71,Day,7/11/2014 18:43,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:43:30,4,18.6,AH0,70,Day,7/11/2014 18:43,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:43:49,4,18.6,AH0,61,Day,7/11/2014 18:43,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:43:53,4,18.6,AH0,63,Day,7/11/2014 18:43,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:44:09,4,18.6,AH0,73,Day,7/11/2014 18:44,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:44:12,4,18.6,AH0,73,Day,7/11/2014 18:44,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:44:28,4,18.6,AH0,72,Day,7/11/2014 18:44,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:44:31,4,18.6,AH0,71,Day,7/11/2014 18:44,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:44:48,4,18.6,AH0,63,Day,7/11/2014 18:44,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:44:51,4,18.6,AH0,62,Day,7/11/2014 18:44,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:45:07,4,18.5,AH0,63,Day,7/11/2014 18:45,21.9298375
150.189,MYSE,8322,7/15/2014,7/11/2014,18:45:10,4,18.6,AH0,63,Day,7/11/2014 18:45,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:45:26,4,18.6,AH0,61,Day,7/11/2014 18:45,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:45:30,4,18.6,AH0,61,Day,7/11/2014 18:45,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:45:49,4,18.6,AH0,62,Day,7/11/2014 18:45,22.1467544
